sample_id,hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,cu_pct,mo_pct,au_gt
QV-C01-001-A0001,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,0.000000000,2.000000000,2.000000000,0.022359081,0.000000000,0.000000000
QV-C01-001-A0002,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,2.000000000,4.000000000,2.000000000,0.020668191,0.000000000,0.000000000
QV-C01-001-A0003,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,4.000000000,6.000000000,2.000000000,0.021299337,0.000000000,0.000000000
QV-C01-001-A0004,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,6.000000000,8.000000000,2.000000000,0.019658095,0.000000000,0.000000000
QV-C01-001-A0005,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,8.000000000,10.000000000,2.000000000,0.021167225,0.000000000,0.000000000
QV-C01-001-A0006,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,10.000000000,12.000000000,2.000000000,0.017100065,0.000000000,0.000000000
QV-C01-001-A0007,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,12.000000000,14.000000000,2.000000000,0.023105858,0.000000000,0.000000000
QV-C01-001-A0008,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,14.000000000,16.000000000,2.000000000,0.019722860,0.000000000,0.000000000
QV-C01-001-A0009,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,16.000000000,18.000000000,2.000000000,0.020566424,0.000000000,0.000000000
QV-C01-001-A0010,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,18.000000000,20.000000000,2.000000000,0.021679923,0.000000000,0.000000000
QV-C01-001-A0011,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,20.000000000,22.000000000,2.000000000,0.020255715,0.000000000,0.000000000
QV-C01-001-A0012,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,22.000000000,24.000000000,2.000000000,0.017757443,0.000000000,0.000000000
QV-C01-001-A0013,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,24.000000000,26.000000000,2.000000000,0.021788781,0.000000000,0.000000000
QV-C01-001-A0014,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,26.000000000,28.000000000,2.000000000,0.022855685,0.000000000,0.000000000
QV-C01-001-A0015,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,28.000000000,30.000000000,2.000000000,0.022398375,0.000000000,0.000000000
QV-C01-001-A0016,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,30.000000000,32.000000000,2.000000000,0.021936895,0.000000000,0.000000000
QV-C01-001-A0017,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,32.000000000,34.000000000,2.000000000,0.019025026,0.000000000,0.000000000
QV-C01-001-A0018,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,34.000000000,36.000000000,2.000000000,0.021055369,0.000000000,0.000000000
QV-C01-001-A0019,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,36.000000000,38.000000000,2.000000000,0.026827692,0.000000000,0.000000000
QV-C01-001-A0020,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,38.000000000,40.000000000,2.000000000,0.025221137,0.000000000,0.000000000
QV-C01-001-A0021,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,40.000000000,42.000000000,2.000000000,0.018736363,0.000000000,0.000000000
QV-C01-001-A0022,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,42.000000000,44.000000000,2.000000000,0.020331789,0.000000000,0.000000000
QV-C01-001-A0023,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,44.000000000,46.000000000,2.000000000,0.023958337,0.000000000,0.000000000
QV-C01-001-A0024,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,46.000000000,48.000000000,2.000000000,0.022013869,0.000000000,0.000000000
QV-C01-001-A0025,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,48.000000000,50.000000000,2.000000000,0.024023196,0.000000000,0.000000000
QV-C01-001-A0026,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,50.000000000,52.000000000,2.000000000,0.022015723,0.000000000,0.000000000
QV-C01-001-A0027,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,52.000000000,54.000000000,2.000000000,0.022084499,0.000000000,0.000000000
QV-C01-001-A0028,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,54.000000000,56.000000000,2.000000000,0.022892097,0.000000000,0.000000000
QV-C01-001-A0029,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,56.000000000,58.000000000,2.000000000,0.019971815,0.000000000,0.000000000
QV-C01-001-A0030,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,58.000000000,60.000000000,2.000000000,0.022651590,0.000000000,0.000000000
QV-C01-001-A0031,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,60.000000000,62.000000000,2.000000000,0.019618464,0.000000000,0.000000000
QV-C01-001-A0032,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,62.000000000,64.000000000,2.000000000,0.022793270,0.000000000,0.000000000
