hole_id,dataset_id,project_id,campaign_id,x,y,z,azimuth_deg,dip_deg,final_depth_m
QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,242401.442682066,8196172.007453387,3336.000000000,38.012787504,-83.937183959,246.068704921
QV-C01-002,DS00,quebrada_verde,CAMPAIGN_01,242598.404232669,8196206.737088920,3398.000000000,10.323136830,-85.000000000,307.295773684
QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,242795.365783271,8196241.466724453,3462.000000000,329.676863169,-85.000000000,371.052234362
QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,242992.327333874,8196276.196359986,3530.000000000,301.987212497,-85.000000000,439.297604962
QV-C01-005,DS00,quebrada_verde,CAMPAIGN_01,242370.186010086,8196349.272848929,3284.000000000,63.300755769,-83.525681142,220.000000000
QV-C01-006,DS00,quebrada_verde,CAMPAIGN_01,242567.147560689,8196384.002484462,3342.000000000,38.012787502,-85.000000000,250.840441124
QV-C01-007,DS00,quebrada_verde,CAMPAIGN_01,242764.109111291,8196418.732119995,3406.000000000,301.987212500,-85.000000000,314.596901802
QV-C01-008,DS00,quebrada_verde,CAMPAIGN_01,242961.070661894,8196453.461755529,3534.000000000,276.699244233,-85.000000000,442.888441862
QV-C01-009,DS00,quebrada_verde,CAMPAIGN_01,242338.929338106,8196526.538244471,3254.000000000,96.699244233,-81.749373882,220.000000000
QV-C01-010,DS00,quebrada_verde,CAMPAIGN_01,242535.890888709,8196561.267880005,3298.000000000,121.987212500,-85.000000000,220.000000000
QV-C01-011,DS00,quebrada_verde,CAMPAIGN_01,242732.852439311,8196595.997515538,3344.000000000,218.012787502,-85.000000000,252.832830520
QV-C01-012,DS00,quebrada_verde,CAMPAIGN_01,242929.813989914,8196630.727151071,3396.000000000,243.300755769,-85.000000000,305.413573525
QV-C01-013,DS00,quebrada_verde,CAMPAIGN_01,242307.672666126,8196703.803640014,3232.000000000,121.987212497,-76.794115806,220.000000000
QV-C01-014,DS00,quebrada_verde,CAMPAIGN_01,242504.634216729,8196738.533275547,3268.000000000,149.676863169,-83.270134643,220.000000000
QV-C01-015,DS00,quebrada_verde,CAMPAIGN_01,242701.595767331,8196773.262911080,3278.000000000,190.323136830,-83.775809524,220.000000000
QV-C01-016,DS00,quebrada_verde,CAMPAIGN_01,242898.557317934,8196807.992546613,3364.000000000,218.012787504,-84.711156371,273.932067089
QV-C02-001,DS00,quebrada_verde,CAMPAIGN_02,242508.344502073,8196343.171120323,3336.000000000,43.972626615,-67.802373598,255.208796108
QV-C02-002,DS00,quebrada_verde,CAMPAIGN_02,242616.673354904,8196362.272419867,3360.000000000,14.623564786,-76.808072254,269.800295723
QV-C02-003,DS00,quebrada_verde,CAMPAIGN_02,242725.002207736,8196381.373719410,3392.000000000,325.376435214,-78.474914352,301.062083955
QV-C02-004,DS00,quebrada_verde,CAMPAIGN_02,242833.331060567,8196400.475018954,3486.000000000,296.027373385,-77.154774466,398.727185634
QV-C02-005,DS00,quebrada_verde,CAMPAIGN_02,242941.659913398,8196419.576318497,3548.000000000,283.574706202,-74.165524843,467.855968008
QV-C02-006,DS00,quebrada_verde,CAMPAIGN_02,242487.506720753,8196461.348050685,3298.000000000,80.000000000,-67.583852521,220.000000000
QV-C02-007,DS00,quebrada_verde,CAMPAIGN_02,242595.835573584,8196480.449350229,3326.000000000,80.000000001,-83.376980510,231.209298878
QV-C02-008,DS00,quebrada_verde,CAMPAIGN_02,242704.164426416,8196499.550649771,3364.000000000,260.000000001,-84.523701534,268.999566210
QV-C02-009,DS00,quebrada_verde,CAMPAIGN_02,242812.493279247,8196518.651949315,3412.000000000,260.000000000,-76.736671257,323.289754656
QV-C02-010,DS00,quebrada_verde,CAMPAIGN_02,242920.822132078,8196537.753248858,3466.000000000,260.000000000,-71.914903632,386.630732406
QV-C02-011,DS00,quebrada_verde,CAMPAIGN_02,242466.668939433,8196579.524981046,3286.000000000,116.027373385,-61.023449209,220.000000000
QV-C02-012,DS00,quebrada_verde,CAMPAIGN_02,242574.997792264,8196598.626280590,3304.000000000,145.376435214,-72.386529662,220.000000000
QV-C02-013,DS00,quebrada_verde,CAMPAIGN_02,242683.326645096,8196617.727580133,3330.000000000,194.623564786,-74.750787901,240.714891920
QV-C02-014,DS00,quebrada_verde,CAMPAIGN_02,242791.655497927,8196636.828879677,3350.000000000,223.972626615,-69.191151907,268.235308784
QV-C02-015,DS00,quebrada_verde,CAMPAIGN_02,242899.984350758,8196655.930179220,3372.000000000,236.425293798,-63.229291502,303.131606087
QV-C02-016,DS00,quebrada_verde,CAMPAIGN_02,242445.831158113,8196697.701911408,3268.000000000,135.491477012,-50.000000000,220.000000000
QV-C02-017,DS00,quebrada_verde,CAMPAIGN_02,242554.160010944,8196716.803210951,3282.000000000,157.092591329,-55.473129492,220.000000000
QV-C02-018,DS00,quebrada_verde,CAMPAIGN_02,242662.488863776,8196735.904510494,3284.000000000,182.907408671,-55.862686905,220.000000000
QV-C02-019,DS00,quebrada_verde,CAMPAIGN_02,242770.817716607,8196755.005810038,3300.000000000,204.508522988,-54.296625277,239.643692223
