density_sample_id,hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,density_t_m3
QV-C01-001-D0001,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,19.706881657,20.706881657,1.000000000,2.742587840
QV-C01-001-D0002,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,44.706881657,45.706881657,1.000000000,2.723700116
QV-C01-001-D0003,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,69.706881657,70.706881657,1.000000000,2.703235419
QV-C01-001-D0004,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,94.706881657,95.706881657,1.000000000,2.690533958
QV-C01-001-D0005,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,119.706881657,120.706881657,1.000000000,2.725885425
QV-C01-001-D0006,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,144.706881657,145.706881657,1.000000000,2.719480956
QV-C01-001-D0007,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,169.706881657,170.706881657,1.000000000,2.716403432
QV-C01-001-D0008,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,194.706881657,195.706881657,1.000000000,2.722470992
QV-C01-001-D0009,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,219.706881657,220.706881657,1.000000000,2.715539026
QV-C01-001-D0010,QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,244.706881657,245.706881657,1.000000000,2.694149370
QV-C01-002-D0001,QV-C01-002,DS00,quebrada_verde,CAMPAIGN_01,9.290746501,10.290746501,1.000000000,2.683770329
QV-C01-002-D0002,QV-C01-002,DS00,quebrada_verde,CAMPAIGN_01,34.290746501,35.290746501,1.000000000,2.718193285
QV-C01-002-D0003,QV-C01-002,DS00,quebrada_verde,CAMPAIGN_01,59.290746501,60.290746501,1.000000000,2.725963941
QV-C01-002-D0004,QV-C01-002,DS00,quebrada_verde,CAMPAIGN_01,84.290746501,85.290746501,1.000000000,2.691076917
QV-C01-002-D0005,QV-C01-002,DS00,quebrada_verde,CAMPAIGN_01,109.290746501,110.290746501,1.000000000,2.708398692
QV-C01-002-D0006,QV-C01-002,DS00,quebrada_verde,CAMPAIGN_01,134.290746501,135.290746501,1.000000000,2.720608591
QV-C01-002-D0007,QV-C01-002,DS00,quebrada_verde,CAMPAIGN_01,159.290746501,160.290746501,1.000000000,2.726086948
QV-C01-002-D0008,QV-C01-002,DS00,quebrada_verde,CAMPAIGN_01,184.290746501,185.290746501,1.000000000,2.743621459
