hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,lith_code
QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,0.000000000,8.000000000,8.000000000,OVB
QV-C01-001,DS00,quebrada_verde,CAMPAIGN_01,8.000000000,246.068704921,238.068704921,VOL
QV-C01-002,DS00,quebrada_verde,CAMPAIGN_01,0.000000000,8.000000000,8.000000000,OVB
QV-C01-002,DS00,quebrada_verde,CAMPAIGN_01,8.000000000,307.295773684,299.295773684,VOL
QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,0.000000000,8.000000000,8.000000000,OVB
QV-C01-003,DS00,quebrada_verde,CAMPAIGN_01,8.000000000,371.052234362,363.052234362,VOL
QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,0.000000000,8.000000000,8.000000000,OVB
QV-C01-004,DS00,quebrada_verde,CAMPAIGN_01,8.000000000,439.297604962,431.297604962,VOL
QV-C01-005,DS00,quebrada_verde,CAMPAIGN_01,0.000000000,8.000000000,8.000000000,OVB
QV-C01-005,DS00,quebrada_verde,CAMPAIGN_01,8.000000000,220.000000000,212.000000000,VOL
QV-C01-006,DS00,quebrada_verde,CAMPAIGN_01,0.000000000,8.000000000,8.000000000,OVB
QV-C01-006,DS00,quebrada_verde,CAMPAIGN_01,8.000000000,250.840441124,242.840441124,POR
QV-C01-007,DS00,quebrada_verde,CAMPAIGN_01,0.000000000,8.000000000,8.000000000,OVB
QV-C01-007,DS00,quebrada_verde,CAMPAIGN_01,8.000000000,39.000000000,31.000000000,VOL
QV-C01-007,DS00,quebrada_verde,CAMPAIGN_01,39.000000000,314.596901802,275.596901802,POR
QV-C01-008,DS00,quebrada_verde,CAMPAIGN_01,0.000000000,8.000000000,8.000000000,OVB
QV-C01-008,DS00,quebrada_verde,CAMPAIGN_01,8.000000000,338.000000000,330.000000000,VOL
QV-C01-008,DS00,quebrada_verde,CAMPAIGN_01,338.000000000,442.888441862,104.888441862,POR
QV-C01-009,DS00,quebrada_verde,CAMPAIGN_01,0.000000000,8.000000000,8.000000000,OVB
QV-C01-009,DS00,quebrada_verde,CAMPAIGN_01,8.000000000,220.000000000,212.000000000,VOL
QV-C01-010,DS00,quebrada_verde,CAMPAIGN_01,0.000000000,8.000000000,8.000000000,OVB
QV-C01-010,DS00,quebrada_verde,CAMPAIGN_01,8.000000000,220.000000000,212.000000000,POR
QV-C01-011,DS00,quebrada_verde,CAMPAIGN_01,0.000000000,8.000000000,8.000000000,OVB
QV-C01-011,DS00,quebrada_verde,CAMPAIGN_01,8.000000000,252.832830520,244.832830520,POR
QV-C01-012,DS00,quebrada_verde,CAMPAIGN_01,0.000000000,10.000000000,10.000000000,OVB
QV-C01-012,DS00,quebrada_verde,CAMPAIGN_01,10.000000000,305.413573525,295.413573525,VOL
QV-C01-013,DS00,quebrada_verde,CAMPAIGN_01,0.000000000,8.000000000,8.000000000,OVB
QV-C01-013,DS00,quebrada_verde,CAMPAIGN_01,8.000000000,220.000000000,212.000000000,VOL
QV-C01-014,DS00,quebrada_verde,CAMPAIGN_01,0.000000000,8.000000000,8.000000000,OVB
QV-C01-014,DS00,quebrada_verde,CAMPAIGN_01,8.000000000,220.000000000,212.000000000,VOL
QV-C01-015,DS00,quebrada_verde,CAMPAIGN_01,0.000000000,8.000000000,8.000000000,OVB
QV-C01-015,DS00,quebrada_verde,CAMPAIGN_01,8.000000000,220.000000000,212.000000000,VOL
QV-C01-016,DS00,quebrada_verde,CAMPAIGN_01,0.000000000,8.000000000,8.000000000,OVB
QV-C01-016,DS00,quebrada_verde,CAMPAIGN_01,8.000000000,273.932067089,265.932067089,VOL
QV-C02-001,DS00,quebrada_verde,CAMPAIGN_02,0.000000000,11.000000000,11.000000000,OVB
QV-C02-001,DS00,quebrada_verde,CAMPAIGN_02,11.000000000,15.000000000,4.000000000,VOL
QV-C02-001,DS00,quebrada_verde,CAMPAIGN_02,15.000000000,255.208796108,240.208796108,POR
QV-C02-002,DS00,quebrada_verde,CAMPAIGN_02,0.000000000,8.000000000,8.000000000,OVB
QV-C02-002,DS00,quebrada_verde,CAMPAIGN_02,8.000000000,269.800295723,261.800295723,POR
QV-C02-003,DS00,quebrada_verde,CAMPAIGN_02,0.000000000,2.000000000,2.000000000,AIR
QV-C02-003,DS00,quebrada_verde,CAMPAIGN_02,2.000000000,10.000000000,8.000000000,OVB
QV-C02-003,DS00,quebrada_verde,CAMPAIGN_02,10.000000000,27.000000000,17.000000000,VOL
QV-C02-003,DS00,quebrada_verde,CAMPAIGN_02,27.000000000,301.062083955,274.062083955,POR
QV-C02-004,DS00,quebrada_verde,CAMPAIGN_02,0.000000000,10.000000000,10.000000000,OVB
QV-C02-004,DS00,quebrada_verde,CAMPAIGN_02,10.000000000,146.000000000,136.000000000,VOL
QV-C02-004,DS00,quebrada_verde,CAMPAIGN_02,146.000000000,398.727185634,252.727185634,POR
QV-C02-005,DS00,quebrada_verde,CAMPAIGN_02,0.000000000,8.000000000,8.000000000,OVB
QV-C02-005,DS00,quebrada_verde,CAMPAIGN_02,8.000000000,261.000000000,253.000000000,VOL
QV-C02-005,DS00,quebrada_verde,CAMPAIGN_02,261.000000000,467.855968008,206.855968008,POR
QV-C02-006,DS00,quebrada_verde,CAMPAIGN_02,0.000000000,9.000000000,9.000000000,OVB
QV-C02-006,DS00,quebrada_verde,CAMPAIGN_02,9.000000000,220.000000000,211.000000000,POR
QV-C02-007,DS00,quebrada_verde,CAMPAIGN_02,0.000000000,6.000000000,6.000000000,OVB
QV-C02-007,DS00,quebrada_verde,CAMPAIGN_02,6.000000000,231.209298878,225.209298878,POR
QV-C02-008,DS00,quebrada_verde,CAMPAIGN_02,0.000000000,8.000000000,8.000000000,OVB
QV-C02-008,DS00,quebrada_verde,CAMPAIGN_02,8.000000000,268.999566210,260.999566210,POR
QV-C02-009,DS00,quebrada_verde,CAMPAIGN_02,0.000000000,8.000000000,8.000000000,OVB
QV-C02-009,DS00,quebrada_verde,CAMPAIGN_02,8.000000000,52.000000000,44.000000000,VOL
QV-C02-009,DS00,quebrada_verde,CAMPAIGN_02,52.000000000,323.289754656,271.289754656,POR
QV-C02-010,DS00,quebrada_verde,CAMPAIGN_02,0.000000000,2.000000000,2.000000000,AIR
QV-C02-010,DS00,quebrada_verde,CAMPAIGN_02,2.000000000,17.000000000,15.000000000,OVB
