PID,X,Y,Z
1,242090.504105,8195907.783768,3448.555475
2,242090.517861,8195908.657304,3448.0
3,242090.540944,8195910.123087,3447.076815
4,242090.567796,8195911.828172,3446.0
5,242090.597869,8195907.782547,3448.702926
6,242090.653763,8195907.781819,3448.790881
7,242090.676646,8195918.740155,3445.126383
8,242090.708394,8195920.756127,3445.043142
9,242090.710634,8195920.898413,3445.032513
10,242090.73992,8195922.758034,3444.486304
11,242090.746208,8195923.157333,3444.42658
12,242090.775565,8195925.021515,3444.0
13,242090.810538,8195927.242266,3444.0
14,242090.839827,8195929.102118,3443.237802
15,242090.849487,8195929.71554,3443.174747
16,242090.864597,8195930.675061,3443.068557
17,242090.902164,8195933.060555,3442.763201
18,242090.932748,8195935.002629,3442.455841
19,242090.95327,8195936.30577,3442.859956
20,242090.956193,8195936.491383,3443.040031
21,242090.966239,8195937.129329,3442.753021
22,242090.982813,8195938.18178,3442.0
23,242091.005686,8195939.634183,3440.911059
24,242091.013642,8195940.139418,3440.647901
25,242091.020468,8195940.572848,3440.432203
26,242091.028083,8195941.056404,3440.0
27,242091.038346,8195941.708084,3439.408156
28,242091.059495,8195943.051033,3438.0
29,242091.077285,8195944.180741,3436.483419
30,242091.082917,8195944.538371,3436.0
31,242091.089829,8195944.977273,3435.410039
32,242091.101899,8195945.743695,3434.0
33,242091.116726,8195946.685213,3432.283143
34,242091.118506,8195946.798271,3432.117495
35,242091.119771,8195946.87856,3432.0
36,242091.15821,8195949.319447,3431.590145
37,242091.162878,8195949.615859,3431.521675
38,242091.167111,8195949.884672,3431.460113
39,242091.173331,8195950.279641,3431.362902
40,242091.181501,8195950.79844,3431.245771
41,242091.199087,8195951.915164,3430.936387
42,242091.216888,8195953.045508,3430.591649
43,242091.247999,8195955.02106,3430.004401
44,242091.248142,8195955.030117,3430.001815
45,242091.248233,8195955.035954,3430.0
46,242091.250324,8195955.168688,3429.847812
47,242091.255324,8195955.486235,3429.483639
48,242091.257558,8195955.628058,3429.319688
49,242091.264399,8195956.062477,3428.81433
50,242091.268587,8195956.328411,3428.501532
51,242091.275334,8195956.756863,3428.0
52,242091.288205,8195957.574178,3427.039886
